epoch,step,train_loss,val_acc,val_loss
0,6,,1.0,0.08518541604280472
1,13,,1.0,0.10593181848526001
2,20,,1.0,0.13072411715984344
3,27,,1.0,0.16153845191001892
4,34,,1.0,0.1979086846113205
5,41,,1.0,0.24122631549835205
6,48,,1.0,0.2902257740497589
7,49,2.5967202186584473,,
7,55,,1.0,0.3444753587245941
8,62,,1.0,0.40280377864837646
9,69,,1.0,0.466116338968277
10,76,,0.9800000190734863,0.5328872799873352
11,83,,0.9200000166893005,0.6038253903388977
12,90,,0.800000011920929,0.6724673509597778
13,97,,0.6000000238418579,0.7445579767227173
14,99,2.035630702972412,,
14,104,,0.46000000834465027,0.8153501749038696
15,111,,0.3400000035762787,0.8868628740310669
16,118,,0.3199999928474426,0.9627468585968018
17,125,,0.2800000011920929,1.0320069789886475
18,132,,0.20000000298023224,1.1043665409088135
19,139,,0.14000000059604645,1.1744129657745361
20,146,,0.07999999821186066,1.2479008436203003
21,149,1.1228746175765991,,
21,153,,0.019999999552965164,1.323550820350647
22,160,,0.019999999552965164,1.3941376209259033
23,167,,0.019999999552965164,1.4639407396316528
24,174,,0.0,1.5345818996429443
25,181,,0.0,1.606948971748352
26,188,,0.0,1.6758317947387695
27,195,,0.0,1.7420642375946045
28,199,1.349878191947937,,
28,202,,0.0,1.8099350929260254
29,209,,0.0,1.8736001253128052
30,216,,0.0,1.9384938478469849
31,223,,0.0,1.999039649963379
32,230,,0.0,2.0557432174682617
33,237,,0.0,2.11562180519104
34,244,,0.0,2.1727066040039062
35,249,1.0743200778961182,,
35,251,,0.0,2.2259268760681152
36,258,,0.0,2.278973340988159
37,265,,0.0,2.331371307373047
38,272,,0.0,2.3840208053588867
39,279,,0.0,2.4376916885375977
40,286,,0.0,2.4899253845214844
41,293,,0.0,2.540504217147827
42,299,1.0535115003585815,,
42,300,,0.0,2.5923516750335693
43,307,,0.0,2.6416311264038086
44,314,,0.0,2.688689947128296
45,321,,0.0,2.7345376014709473
46,328,,0.0,2.7810797691345215
47,335,,0.0,2.8265862464904785
48,342,,0.0,2.869454860687256
49,349,1.0101194381713867,,
49,349,,0.0,2.9140164852142334
